mode,max_score,lambda_blend,shared_lambda,classifier_power,prior_power,AW-MAE,MAE_raw_component,exact_acc,outcome_acc,goal_diff_acc
bivar_poisson_expected_awmae,4,1.0,0.15,0.0,0.5,2.9522445314132875,1.015041888804265,0.12484133028687484,0.578954049251079,0.24447829398324447
bivar_poisson_expected_awmae,5,1.0,0.0,0.0,0.5,2.9523305777574387,1.0161843107387662,0.12306422949987307,0.5815562325463316,0.24536684437674536
bivar_poisson_expected_awmae,4,1.0,0.03,0.5,0.5,2.9528359755999287,1.0162160446813913,0.1191926884996192,0.5935516628585935,0.22562833206397562
bivar_poisson_expected_awmae,5,0.0,0.1,0.0,0.0,2.952849207077502,1.006092916984006,0.11297283574511298,0.5763518659558263,0.23533891850723535
bivar_poisson_expected_awmae,4,0.75,0.0,0.5,0.5,2.9531840655818953,1.017104595074892,0.11912922061436913,0.5932343234323433,0.2265168824574765
bivar_poisson_expected_awmae,4,0.5,0.1,0.0,0.25,2.953194612905667,1.0153592282305153,0.11944656004061945,0.5780654988575781,0.24289159685199288
bivar_poisson_expected_awmae,5,0.0,0.15,0.0,0.0,2.9534247443968438,1.004030210713379,0.11405178979436405,0.5747017009393247,0.23546585427773548
bivar_poisson_expected_awmae,4,0.75,0.06,0.5,0.5,2.953434672727259,1.0162795125666413,0.12027164254887027,0.5922823051535923,0.22645341457222645
bivar_poisson_expected_awmae,5,0.75,0.1,0.0,0.5,2.9534438440343265,1.0127253109926377,0.12547600913937548,0.576034526529576,0.24562071591774562
bivar_poisson_expected_awmae,4,0.75,0.1,0.5,0.5,2.9536754369840565,1.015898705255141,0.12071591774562071,0.5918380299568419,0.2263899466869764
bivar_poisson_expected_awmae,5,0.25,0.1,0.5,0.25,2.9537170722194444,1.012058898197512,0.11633663366336634,0.5920919014978421,0.22315308453922314
bivar_poisson_expected_awmae,4,0.5,0.1,0.5,0.25,2.9538940514520386,1.0141850723533892,0.11678090886011679,0.5931073876618431,0.22454937801472455
bivar_poisson_expected_awmae,5,0.25,0.0,0.0,0.25,2.9543136482156025,1.0126618431073877,0.11792333079461792,0.5773673521198274,0.24162223914699163
bivar_poisson_expected_awmae,4,1.0,0.06,0.5,0.5,2.9546453519378493,1.0166285859355166,0.11893881695861894,0.5934881949733435,0.22581873571972583
bivar_poisson_expected_awmae,5,0.25,0.15,0.0,0.25,2.954647755471042,1.0074892104595075,0.12001777100787002,0.5720995176440721,0.2407971566387408
bivar_poisson_expected_awmae,4,0.75,0.15,0.5,0.5,2.955198857515826,1.0152640264026402,0.12027164254887027,0.5905686722518406,0.2261995430312262
bivar_poisson_expected_awmae,4,0.25,0.1,0.5,0.0,2.955323974291533,1.0138994668697638,0.1118938816958619,0.5950748921045951,0.22321655242447322
bivar_poisson_expected_awmae,5,0.5,0.15,0.5,0.0,2.9553289655773667,1.0114876872302614,0.10783193703985783,0.595963442498096,0.21915460776846915
bivar_poisson_expected_awmae,5,0.25,0.03,0.5,0.25,2.955504240935983,1.0131695861893881,0.11652703731911652,0.5929169840060929,0.22213759837522215
bivar_poisson_expected_awmae,5,0.5,0.03,0.5,0.5,2.9555263019022315,1.0153592282305153,0.11982736735211982,0.5911398832190912,0.22715156130997716
