mode,max_score,draw_margin,outcome_weight,gd_weight,prior_weight,AW-MAE,MAE_raw_component,exact_acc,outcome_acc,goal_diff_acc
outcome_aware,5,0.0,0.35,0.0,0.0,2.979814041649394,1.0258314292967758,0.09501142421934501,0.6009774054328509,0.2183929931454684
outcome_aware,5,0.2,0.2,0.03,0.03,2.980320783195457,1.0091711094186342,0.10205635948210205,0.5785097740543285,0.23076923076923078
outcome_aware,5,0.0,0.35,0.0,0.01,2.980321596014399,1.0251015486164001,0.09577303884234577,0.6002792586951002,0.21896420411271897
outcome_aware,5,0.2,0.2,0.1,0.03,2.9803431111375915,1.0089489718202589,0.10186595582635187,0.5782559025133283,0.23115003808073115
outcome_aware,5,0.2,0.2,0.0,0.03,2.980371407192287,1.0094884488448845,0.10218329525260218,0.579017517136329,0.23095963442498096
outcome_aware,5,0.0,0.35,0.1,0.0,2.9803920060770426,1.021801218583397,0.09710586443259711,0.5955191673013455,0.22169332317847168
outcome_aware,5,0.2,0.35,0.1,0.01,2.9806959587399797,1.018088347296268,0.0985021579080985,0.591012947448591,0.22404163493272405
outcome_aware,4,0.3,0.35,0.0,0.06,2.980947880124942,1.010821274435136,0.10478547854785479,0.5835237369890836,0.23184818481848185
outcome_aware,5,0.2,0.2,0.03,0.0,2.9809915966857954,1.0104722010662606,0.10154861640010154,0.5796521959888297,0.22988068037572987
outcome_aware,4,0.3,0.35,0.06,0.06,2.981148073220451,1.0111703478040113,0.10313531353135313,0.5835237369890836,0.23000761614623
outcome_aware,5,0.2,0.2,0.1,0.06,2.981150408582176,1.0080921553693831,0.10173902005585174,0.5764153338410765,0.23064229499873065
outcome_aware,5,0.2,0.2,0.06,0.01,2.9814424788796337,1.00996445798426,0.10161208428535161,0.5790809850215791,0.23013455191673013
outcome_aware,4,0.3,0.35,0.03,0.06,2.9815165899221174,1.010948210205636,0.10408733181010409,0.5833333333333334,0.23083269865448083
outcome_aware,5,0.1,0.2,0.1,0.0,2.981652372151379,1.010884742320386,0.10072353389185072,0.5798425996445798,0.22943640517897942
outcome_aware,5,0.1,0.2,0.1,0.01,2.982287725971906,1.0106626047220106,0.10021579080985021,0.5791444529068291,0.2291190657527291
outcome_aware,5,0.2,0.35,0.1,0.0,2.9825874677587016,1.0187230261487688,0.0985021579080985,0.5911398832190912,0.2241051028179741
outcome_aware,5,0.2,0.2,0.06,0.0,2.9828334128446152,1.0107895404925107,0.10097740543285098,0.578954049251079,0.22943640517897942
outcome_aware,4,0.3,0.35,0.1,0.06,2.9830424368135917,1.0113924854023864,0.10307184564610307,0.5832063975628332,0.22969027671997969
outcome_aware,4,0.3,0.2,0.03,0.06,2.9837435313480016,1.0064737242955064,0.10535668951510535,0.5743843615130744,0.2345138359989845
outcome_aware,4,0.3,0.35,0.03,0.03,2.984282877758859,1.0122175679106373,0.10370652449860371,0.5835237369890836,0.23064229499873065
outcome_aware,4,0.3,0.2,0.06,0.06,2.984608136252418,1.0067910637217568,0.10421426758060422,0.574003554201574,0.2334983498349835
outcome_aware,4,0.3,0.35,0.0,0.03,2.984722554157104,1.0123762376237624,0.10376999238385377,0.5835237369890836,0.2310865701954811
