mode,max_score,lambda_blend,shared_lambda,classifier_power,prior_power,dixon_rho,AW-MAE,MAE_raw_component,exact_acc,outcome_acc,goal_diff_acc
dixon_bivar_expected_awmae,4,1.0,0.06,0.0,0.0,0.15,2.9242630868052855,1.0141850723533892,0.10948210205635948,0.5956461030718456,0.23254633155623256
dixon_bivar_expected_awmae,5,0.75,0.03,0.0,0.0,-0.15,2.924277483295174,1.0054265041888804,0.11329017517136329,0.5881568926123382,0.2385123127697385
dixon_bivar_expected_awmae,4,1.0,0.0,0.0,0.0,-0.05,2.924289045648734,1.012154100025387,0.11329017517136329,0.5921553693830921,0.2392104595074892
dixon_bivar_expected_awmae,4,0.75,0.0,0.0,0.0,-0.15,2.9243129785145787,1.0074574765168824,0.1151942117288652,0.584983498349835,0.2407971566387408
dixon_bivar_expected_awmae,5,1.0,0.15,0.0,0.0,0.05,2.924355571476796,1.0076161462300077,0.11024371667936024,0.5936151307438436,0.2326097994414826
dixon_bivar_expected_awmae,5,0.75,0.0,0.0,0.0,-0.05,2.924438245454652,1.0088855039350089,0.11144960649911145,0.592028433612592,0.23635440467123636
dixon_bivar_expected_awmae,5,0.75,0.06,0.0,0.0,-0.1,2.924444426523004,1.0056486417872557,0.11290936785986291,0.5891723787763392,0.2374968266057375
dixon_bivar_expected_awmae,5,1.0,0.0,0.0,0.0,-0.05,2.9245156393039715,1.0091076415333842,0.11151307438436152,0.5936785986290937,0.23508504696623508
dixon_bivar_expected_awmae,5,0.75,0.0,0.0,0.0,-0.15,2.9245731563307023,1.0063467885250064,0.1130997715156131,0.589045443005839,0.23832190911398832
dixon_bivar_expected_awmae,4,1.0,0.1,0.0,0.0,0.05,2.924598289552537,1.011075145976136,0.11214775323686214,0.5924092409240924,0.23565625793348566
dixon_bivar_expected_awmae,5,1.0,0.06,0.0,0.0,0.1,2.924612907245281,1.012185833968012,0.10738766184310738,0.5967250571210967,0.23121350596598123
dixon_bivar_expected_awmae,5,0.5,0.06,0.0,0.0,0.1,2.9246432825477284,1.0105991368367606,0.10878395531860878,0.5938690022848438,0.23368875349073367
dixon_bivar_expected_awmae,5,0.75,0.06,0.0,0.0,-0.05,2.924753451108639,1.0075526783447575,0.11195734958111196,0.5919014978420919,0.23743335872048743
dixon_bivar_expected_awmae,4,0.75,0.1,0.0,0.0,0.05,2.924761446232934,1.0104722010662606,0.11322670728611323,0.5914572226453415,0.23844884488448845
dixon_bivar_expected_awmae,4,1.0,0.03,0.0,0.0,0.05,2.924803117201949,1.0124079715663874,0.11208428535161208,0.5933612592028433,0.23495811119573495
dixon_bivar_expected_awmae,5,0.5,0.15,0.0,0.0,0.0,2.9248236970139576,1.0047600913937547,0.11202081746636203,0.5883472962680883,0.23692561563848694
dixon_bivar_expected_awmae,4,0.75,0.1,0.0,0.0,0.0,2.924873922845562,1.0087903021071338,0.11367098248286367,0.5887915714648387,0.2388931200812389
dixon_bivar_expected_awmae,5,0.75,0.03,0.0,0.25,0.15,2.924980749521861,1.0114559532876364,0.11563848692561564,0.5912668189895912,0.238004569687738
dixon_bivar_expected_awmae,4,0.75,0.06,0.0,0.0,-0.1,2.925076793937584,1.007140137090632,0.11474993653211475,0.5852373698908352,0.24047981721249048
dixon_bivar_expected_awmae,4,1.0,0.06,0.0,0.0,0.05,2.925099094781597,1.0114242193450114,0.11271896420411272,0.5926631124650926,0.23533891850723535
dixon_bivar_expected_awmae,4,1.0,0.03,0.0,0.0,-0.15,2.925128496487136,1.0079652195988829,0.11417872556486418,0.5870779385630871,0.24067022086824066
dixon_bivar_expected_awmae,5,0.75,0.1,0.0,0.0,0.05,2.9251489332657488,1.0085681645087585,0.10986290936785986,0.5928535161208428,0.23394262503173394
dixon_bivar_expected_awmae,5,1.0,0.0,0.0,0.25,0.05,2.925149303258479,1.011075145976136,0.11551155115511551,0.5903148007108403,0.23965473470423965
dixon_bivar_expected_awmae,4,1.0,0.03,0.0,0.0,0.1,2.9251673576612847,1.0140898705255141,0.10998984513835999,0.5943132774815943,0.23324447829398323
dixon_bivar_expected_awmae,5,0.75,0.0,0.0,0.0,0.0,2.9251749085918854,1.01002792586951,0.1104975882203605,0.5932977913175933,0.2348946433104849
dixon_bivar_expected_awmae,5,0.75,0.15,0.0,0.0,-0.15,2.925198012581239,1.0022531099263772,0.1136075145976136,0.5842853516120843,0.23787763391723787
dixon_bivar_expected_awmae,4,0.75,0.06,0.0,0.0,0.05,2.9252088029543994,1.012090632140137,0.11303630363036303,0.5925361766945926,0.23876618431073876
dixon_bivar_expected_awmae,5,1.0,0.0,0.0,0.0,0.05,2.925214869951047,1.0117098248286367,0.10833968012185834,0.5955826351865956,0.23197512058898198
dixon_bivar_expected_awmae,5,0.5,0.06,0.0,0.0,-0.1,2.925220930923591,1.0042523483117543,0.11284589997461285,0.5858085808580858,0.2376872302614877
dixon_bivar_expected_awmae,5,0.5,0.03,0.0,0.0,0.1,2.925240900690976,1.0112655496318863,0.10853008377760853,0.5945671490225946,0.23305407463823305
dixon_bivar_expected_awmae,4,0.75,0.15,0.0,0.0,-0.1,2.9253261644644497,1.0038398070576289,0.11506727595836506,0.5810484894643311,0.2388931200812389
dixon_bivar_expected_awmae,5,0.5,0.1,0.0,0.0,-0.1,2.925372127145305,1.0030464584920031,0.11290936785986291,0.5842218837268343,0.23705255140898704
dixon_bivar_expected_awmae,4,0.75,0.03,0.0,0.0,0.0,2.925491477497713,1.0112338156892613,0.11348057882711349,0.5907590759075908,0.2392104595074892
dixon_bivar_expected_awmae,5,1.0,0.03,0.0,0.0,0.1,2.9255195339776097,1.012979182533638,0.10713379030210714,0.5969154607768469,0.23127697385123128
dixon_bivar_expected_awmae,4,0.75,0.03,0.0,0.0,-0.15,2.9256309263905522,1.0065689261233817,0.11513074384361513,0.5833968012185834,0.2400990099009901
dixon_bivar_expected_awmae,5,1.0,0.03,0.0,0.25,0.05,2.925669436529141,1.0101231276973852,0.11620969789286621,0.5898070576288398,0.23933739527798933
dixon_bivar_expected_awmae,5,0.5,0.1,0.0,0.0,0.0,2.925713563403949,1.0068227976643818,0.11195734958111196,0.5905052043665905,0.2376237623762376
dixon_bivar_expected_awmae,5,0.75,0.0,0.0,0.25,0.15,2.9257157002565912,1.0123445036811374,0.11494034018786493,0.5915206905305915,0.23756029449098756
dixon_bivar_expected_awmae,5,0.5,0.1,0.0,0.0,0.05,2.925771547980954,1.0080604214267581,0.11087839553186088,0.5917110941863417,0.23616400101548615
dixon_bivar_expected_awmae,4,1.0,0.03,0.0,0.0,0.0,2.9257979785675126,1.012185833968012,0.1130997715156131,0.5921553693830921,0.23743335872048743
