max_score,draw_margin,outcome_weight,gd_weight,prior_weight,mode,AW-MAE,MAE_raw_component,exact_acc,outcome_acc,goal_diff_acc
7,0.2,0.35,0.0,0.06,outcome_aware,3.016710810818939,1.0243414788955887,0.09768327515074579,0.5717549984132022,0.23103776578863852
6,0.1,0.35,0.03,0.03,outcome_aware,3.01678762452415,1.0280228498889241,0.09635036496350365,0.5760710885433196,0.22659473183116471
5,0.2,0.35,0.06,0.06,outcome_aware,3.016876666134157,1.0226912091399556,0.09857188194224056,0.5703586163122818,0.2317994287527769
7,0.1,0.35,0.03,0.03,outcome_aware,3.016941710254315,1.0282132656299587,0.09615994922246905,0.5760710885433196,0.22640431609013012
6,0.2,0.35,0.06,0.0,outcome_aware,3.016943046854864,1.024119327197715,0.09806410663281498,0.5718819422405585,0.23046651856553474
6,0.2,0.35,0.03,0.03,outcome_aware,3.0169458300657537,1.023801967629324,0.09800063471913678,0.5717549984132022,0.23040304665185654
6,0.1,0.35,0.06,0.01,outcome_aware,3.017008786230778,1.0272294509679467,0.09717549984132022,0.5760710885433196,0.22792764201840685
5,0.1,0.35,0.1,0.06,outcome_aware,3.017016751126385,1.024404950809267,0.09774674706442399,0.5712472231037766,0.23040304665185654
7,0.2,0.35,0.03,0.03,outcome_aware,3.0170999157959186,1.0239923833703586,0.09781021897810219,0.5717549984132022,0.23021263091082197
7,0.2,0.35,0.06,0.0,outcome_aware,3.017141445703483,1.0243097429387495,0.09793716280545858,0.5718819422405585,0.23033957473817834
6,0.2,0.35,0.06,0.01,outcome_aware,3.017198880831629,1.0236750238019676,0.09838146620120597,0.5714376388448111,0.23059346239289114
5,0.2,0.35,0.1,0.03,outcome_aware,3.01730120172791,1.0228816248809902,0.09838146620120597,0.5699143129165344,0.2320533164074897
5,0.1,0.35,0.0,0.06,outcome_aware,3.017348319788748,1.0298000634719138,0.09552523008568709,0.5767058076801016,0.2268486194858775
7,0.1,0.35,0.06,0.01,outcome_aware,3.0173880704003553,1.0274833386226594,0.09704855601396382,0.5760710885433196,0.22780069819105045
7,0.2,0.35,0.06,0.01,outcome_aware,3.0175781650012063,1.0239289114566805,0.09825452237384957,0.5714376388448111,0.23046651856553474
5,0.2,0.35,0.06,0.03,outcome_aware,3.017604391744438,1.0239923833703586,0.09819105046017138,0.5715645826721676,0.2312916534433513
6,0.2,0.35,0.0,0.03,outcome_aware,3.0177042863845105,1.0248175182481751,0.09761980323706759,0.5725801332910188,0.23027610282450015
6,0.1,0.35,0.1,0.0,outcome_aware,3.0177332590986192,1.026372580133291,0.09692161218660743,0.5739765153919391,0.2291970802919708
7,0.1,0.35,0.1,0.0,outcome_aware,3.0178755918024818,1.0265312599174865,0.09685814027292923,0.5739765153919391,0.2291336083782926
6,0.2,0.35,0.1,0.0,outcome_aware,3.0178846062109796,1.0233894001904158,0.09825452237384957,0.570739447794351,0.2317994287527769
5,0.1,0.35,0.06,0.06,outcome_aware,3.0178865028654984,1.0259917486512218,0.09730244366867662,0.5738495715645827,0.229260552205649
5,0.1,0.35,0.1,0.03,outcome_aware,3.0179982368826077,1.02570612503967,0.09711202792764202,0.5725166613773405,0.22957791177404
7,0.2,0.35,0.1,0.0,outcome_aware,3.0180269389148426,1.0235480799746113,0.09819105046017138,0.570739447794351,0.2317359568390987
7,0.2,0.35,0.0,0.03,outcome_aware,3.0180839974886093,1.025071405902888,0.097429387496033,0.5725801332910188,0.23008568708346558
6,0.1,0.35,0.03,0.01,outcome_aware,3.018479659010929,1.0290066645509361,0.09603300539511267,0.5772135829895272,0.22646778800380832
5,0.1,0.35,0.1,0.01,outcome_aware,3.01855398872534,1.0264677880038082,0.09654078070453824,0.5736591558235481,0.22894319263725801
5,0.1,0.35,0.06,0.0,outcome_aware,3.018619251009027,1.0287527768962235,0.09615994922246905,0.576515391939067,0.2272294509679467
5,0.2,0.35,0.0,0.06,outcome_aware,3.0187416435725667,1.025039669946049,0.09723897175499842,0.5717549984132022,0.23084735004760393
6,0.3,0.35,0.03,0.06,outcome_aware,3.0187432620304975,1.0168200571247223,0.10092034274833386,0.5643922564265312,0.2360520469692161
7,0.1,0.35,0.03,0.01,outcome_aware,3.0187872282170614,1.02922881624881,0.09590606156775627,0.5772135829895272,0.22634084417645192
5,0.2,0.35,0.03,0.01,outcome_aware,3.0189558476771885,1.0253252935576007,0.09711202792764202,0.5723897175499841,0.22995874325610918
6,0.2,0.35,0.03,0.0,outcome_aware,3.018964940453708,1.0251666137734052,0.09711202792764202,0.5722627737226277,0.2296413836877182
6,0.0,0.2,0.03,0.06,outcome_aware,3.019019619119291,1.0153284671532847,0.10034909552523008,0.5568390986988258,0.23567121548714695
5,0.2,0.35,0.1,0.01,outcome_aware,3.0190249982255404,1.0236115518882893,0.09787369089178038,0.5704855601396382,0.2314185972707077
7,0.3,0.35,0.03,0.06,outcome_aware,3.019048839810214,1.017042208822596,0.10072992700729927,0.5643922564265312,0.23586163122818152
6,0.2,0.35,0.0,0.01,outcome_aware,3.0191965661458577,1.0255157092986353,0.09660425261821644,0.5727070771183751,0.22862583306886702
7,0.2,0.35,0.03,0.0,outcome_aware,3.0192129956247427,1.025388765471279,0.09698508410028563,0.5722627737226277,0.2295144398603618
5,0.1,0.35,0.03,0.03,outcome_aware,3.0192632134628488,1.0290384005077753,0.09571564582672168,0.5760710885433196,0.22634084417645192
7,0.0,0.2,0.03,0.06,outcome_aware,3.019325196899007,1.0155506188511583,0.10015867978419549,0.5568390986988258,0.23548079974611236
5,0.2,0.35,0.03,0.03,outcome_aware,3.0194214190044524,1.0248175182481751,0.09736591558235481,0.5717549984132022,0.23014915899714378
7,0.2,0.35,0.0,0.01,outcome_aware,3.019553791674405,1.0257695969533482,0.09647730879086004,0.5727070771183751,0.22849888924151063
5,0.1,0.35,0.06,0.01,outcome_aware,3.0195997982076266,1.0282450015867979,0.09660425261821644,0.5760710885433196,0.22773722627737225
6,0.3,0.35,0.0,0.06,outcome_aware,3.019637101953502,1.0177086639162172,0.10066645509362107,0.5645826721675659,0.2362424627102507
6,0.0,0.2,0.1,0.06,outcome_aware,3.0197694300032882,1.0147254839733417,0.10098381466201206,0.5556331323389401,0.2368771818470327
5,0.2,0.35,0.06,0.01,outcome_aware,3.019789892808478,1.0246905744208188,0.09781021897810219,0.5714376388448111,0.23040304665185654
7,0.3,0.35,0.0,0.06,outcome_aware,3.0198407347595078,1.0179308156140907,0.10041256743890828,0.5645826721675659,0.2359885750555379
5,0.2,0.35,0.06,0.0,outcome_aware,3.019844228974163,1.0252618216439227,0.097429387496033,0.5718819422405585,0.23021263091082197
6,0.3,0.35,0.06,0.06,outcome_aware,3.0199806042926243,1.0166613773405269,0.10098381466201206,0.5638844811171057,0.23579815931450332
6,0.3,0.35,0.06,0.03,outcome_aware,3.020039394163977,1.017327832434148,0.10085687083465567,0.5644557283402094,0.23535385591875596
6,0.3,0.35,0.1,0.03,outcome_aware,3.0202029177945975,1.0169787369089178,0.10060298317994287,0.5636940653760711,0.23541732783243416
7,0.0,0.2,0.1,0.06,outcome_aware,3.0202939432974474,1.0149793716280546,0.10079339892097747,0.5556331323389401,0.2366867661059981
6,0.3,0.35,0.1,0.06,outcome_aware,3.0203031921701147,1.0168200571247223,0.10079339892097747,0.5631862900666456,0.23586163122818152
6,0.2,0.35,0.0,0.0,outcome_aware,3.0203475327531706,1.0260552205649,0.09647730879086004,0.5730244366867661,0.22868930498254522
7,0.3,0.35,0.06,0.06,outcome_aware,3.0203482940116193,1.0168835290384004,0.10079339892097747,0.5638844811171057,0.23560774357346875
7,0.3,0.35,0.06,0.03,outcome_aware,3.020372362110336,1.0175499841320217,0.10066645509362107,0.5644557283402094,0.23516344017772137
5,0.1,0.35,0.1,0.0,outcome_aware,3.0204440549810316,1.0274516026658205,0.09628689304982545,0.5739765153919391,0.22894319263725801
